program_ID,program_name,response_date,signal_number,Asking,Observe,Generate,Model,Communicate,Any Work With Data,Sum Work With Data,Qualitative Coding,Initials,Josh notes
1,Boston - Dorchester House,2015-07-21,4,1,0,1,0,1,1,3,"-there is a student in what looks like a recording booth, he's freestyle rapping (and is actually not bad)
-but they take the survey like a minute into the video?
should we maybe watch the video right before and code that as ESM4? ",HM,
1,Boston - Dorchester House,2015-07-22,1,0,0,1,1,1,1,3,"-the students are pasting pictures to a giant sheet of paper (presumably the pictures they printed out earlier in the program?)
-the video only focuses on the teacher, so it's unclear what the students are doing (but you can see AND hear the teacher eating)
-I guess the project is about they're research (I think the one before where they were surveying opinions. some did music artists, looks like some did shoes, some did cars)",HM,
1,Boston - Dorchester House,2015-07-22,2,0,0,1,0,1,1,2,"-students are still working on the same project because next week they are expected to move on to something else
-I can see how they may be communicating findings because they are writing they're results on the sheet of paper in order to present they're findings (however, they are only making the presentation right now so I'm not sure if that counts?)
-one of the students is really behind and the teacher is trying to help him catch up (but seems frustrated)
-signal at 8:30 minutes",HM,
1,Boston - Dorchester House,2015-07-22,3,0,0,1,0,0,1,1,"-the students are in a kitchen, mixing something together (based on the eggs on the counter I think they are baking)
-each student is assigned to a group that is in charge of a particular step in the baking(?) process
-the students are signaled at 5 minutes and then they mostly seem to be goofing around after that
-so I'm fairly certain they're making cookies (the instructor said something about cookie dough)
-I think this process is connected to their assignment with the baking ratios (but really it's just a way to get them engaged)",HM,
1,Boston - Dorchester House,2015-07-22,4,0,0,1,0,0,1,1,"-the cookie dough is all mixed together, then the two groups will take turns putting the dough onto baking sheets
-they will each scoop one cookie on, to make sure there is enough for everyone
-the remainder of the video is students cleaning up themselves and the teacher puts the cookies in the oven",HM,
1,Boston - Dorchester House,2015-07-28,1,1,0,0,0,0,1,1,"-it seems like there is a new student in the class now? (I didn't see the Asian girl in pink before)
-the class splits in two groups for a competition, the teacher asks the students to assign one person as scribe
-he gives them a riddle, ""two fathers and two sons sat down to eat eggs for breakfast. They ate exactly three eggs, each person had an egg.""
-One person is the grandfather (I definitely did not figure that out before them)
-the teacher decides to give them another riddle (are they just passing time? doesn't seem to be math or science related)
----I take that back, he said the second riddle was more math related and it did require some ratio work but the signal goes off and cuts the video before the students start to solve the riddle",HM,
1,Boston - Dorchester House,2015-07-28,2,0,0,0,0,0,0,0,"-students are finishing up their research presentation posters
-students start to lose focus and play on their phones (the teacher walked out of the room to check on other students)",HM,
1,Boston - Dorchester House,2015-07-28,3,0,0,0,1,0,1,1,"-Their class topic is ""success""
-they are writing words on the board (as a class) that they associate with success
-then they pick one of the words, and then they are going to write it on a piece of paper and draw pictures that go along with it, which they work on for the remainder of the video",HM,
1,Boston - Dorchester House,2015-07-28,4,0,0,1,0,0,1,1,"-the students are back in the recording room
-they have a week and a half to make a song: the beat is done and some of the lyrics are done but they still need to write a hook and record the whole thing
-one of the students is selected to rap the song they wrote, but struggles to find his flow a little bit
-after struggling for a bit, the group decides to remix a song that already exists instead of doing their original piece and decide on ""See You Again"" which is in one of the Fast and Furious movies",HM,
1,Boston - Dorchester House,2015-07-29,1,0,0,1,0,1,1,2,"-students are working on one-step word problems
-some of the students are still working on their research poster
(only a 3 minute video)",HM,
1,Boston - Dorchester House,2015-07-29,2,0,0,0,0,0,0,0,"-the first half of hte video is just the teacher trying to set up the room and get students to clean up and focus
-as soon as the teacher got set up, someone came and said they had a meeting in that room at 12:30 so they had to clean it all up and move to the gym",HM,
1,Boston - Dorchester House,2015-07-29,3,0,0,1,0,0,1,1,"-so apparently this is their cooking class, and today they are making apple pie
-one student said they are allergic to apples and cinnamon but the teacher disregards them and assumes they are joking (which I think they are, but we can't be sure)
-so is the making of food being coded as generating data?
-each student is assigned a different job (i.e. peelings apples, cutting them up, mixing the dry ingredients)",HM,
1,Boston - Dorchester House,2015-07-29,4,0,1,0,0,0,1,1,"-they are still in the kitchen (I guess they're waiting for the pie to bake?)
-the teacher gets nutrition worksheets for the students to do while they're waiting (the teacher is very clearly just killing time while the pie bakes)
-they are taking a vegetable quiz (i.e. which of these vegetables is a root you can eat?)
-not sure why this video is coded for observing but not the last one",HM,
2,Boston - Mathpower,2015-07-14,1,1,0,1,0,1,1,3,"-there are three instructors in the room
-the students are quietly working on an assignment individually and the teacher has set a timer for five minutes
-They are using a series of numbers written on the board and need to use various forms of math to make the value 10
-the students are asking questions in order to try to get hints on how to solve the problem
-the students then swap papers with another classmate to check their work, they get five minutes
-this clip is coded as generating data (but in my opinion, the data is already given to them aka the numbers on the board, and they are just manipulating the data)
-the table groups add up their individual scores and the groups that get the most are given red raffle tickets (which is likely their form of reward currency in this program)",HM,
2,Boston - Mathpower,2015-07-14,2,1,0,1,1,1,1,4,"-the male teacher (Mr. B) gives his answer for the problem on the board, and the student are meant to check his answer (he got it wrong, but I'm not sure if that was intentional. it seems like it was?)
---- (problem was 253-947= -866)
----a student volunteer (Joe) is asked to go up to the board and show why the answer is wrong, he needs to show his work
----Joe flips the problem to be 987-253 = 734 and then made it negative
-the students are communicating findings by showing their work on the board and discussing why their answer was correct and Mr. B's was wrong and also observing their classmate's work and how they solved the problem
-the teacher suggests using a number line to find the answer and a student pushes back, saying it is not practical because the numbers are too big
----the teacher then asks them if the number line has to go by 1's and when some students say no, she asks them to give examples of what a number line can be on a scale of (they reply 5's, 10's, 2's) and the teacher asks why they're moaning and groaning then
-the students begin discussing how Mr. B got the numbers he did, and a student goes up to the board to explain what he did",HM,
2,Boston - Mathpower,2015-07-14,3,1,0,1,1,1,1,4,"-in the beginning in the video we catch the tail end of the teacher demonstrating the answer for the last problem they were working on and showing her work
-she says they were going to do ""my favorite no"" activity but everyone got the problem correct so they couldn't choose a ""no"" to look at
-instead, they are playing a game called, ""if, then""
----there are cards with equations and numbers on them, so they need to read the ""if ....."" card with the equation and link it to the card with the number of the answer
-they ask questions but nothing seemingly relevant to the topics (more like, ""are we going to get a prize for this?"") and I don't see anywhere that I would see as communicating findings??
-the video ends before they actually start the activity",HM,
2,Boston - Mathpower,2015-07-14,4,1,0,1,1,1,1,4,"-this video is the students actually participating in the ""if, then"" activity
-they are working together in large groups of about 8 students
-they are asking questions in order to work together and figure out the answers as a group
-they continue working semi-quietly for the remainder of the video",HM,
2,Boston - Mathpower,2015-07-16,1,0,0,0,0,0,0,0,"-the students are singing with Mr. B and the Ms. Jackson starts singing high school musical (the students in this program seem to like their teachers a lot, which is unexpected since they are actually doing real work most of the time as opposed to some of the other programs where they have more freedom to play)
-the students are making some sort of poster or banner for the wall in their classroom (they are currently spelling out ""equation"")",HM,
2,Boston - Mathpower,2015-07-16,2,1,0,1,0,1,1,3,"-the students are working on a similar task as the beginning of the day yesterday (they are given a series of numbers and are asked to solve for the target number as many ways as possible (they can use any sort of math to get there aka division, exponents, etc.) in their table groups and there is a timer on the board
----they don't have to use all the numbers given but if they use all the numbers in their problem they get two points instead of one
-Ms. Jackson asks one student why she has stopped working and the student tells her that it is boring 
----Ms. J asks if she can work with the student and asks why she thinks it's boring. The student tells her it's too complicated so Ms. J starts talking through the problem with her
----They realize that the student actually had been on the right track all along
-after the timer runs out they swap papers with another table to ""grade"" them
-one student is supervising his graders to make sure they don't make any mistakes (evidently he really wants the points, which makes sense since the winning table(s) get raffle tickets and the raffle is the next day)",HM,
2,Boston - Mathpower,2015-07-16,3,1,1,1,1,1,1,5,"-they are doing an activity called ""hippity hoppity""
----teacher notes that some students are struggling with solving equations and like terms so this activity relates to that
----first the teacher gives some examples of how to combine like terms before they begin the activity
----the teacher splits them into four groups 
----students are trying to hop to the other line (150cm away) and one hop = h, so for every hop it takes to get to the finish line is another h
----ex: 2 hops to get to the end is 2h=150 and then they have to solve for h
----they also need to do one where they hop once and measure the distance and then solve for how many centimeters it would take to get to the finish (ex: 60 + h = 150) data modeling?",HM,
2,Boston - Mathpower,2015-07-16,4,1,1,1,1,1,1,5,"-the teacher is using students as an example to explain solving an equation (teacher = modeling)
-this is a continuation of the hopping activity (they are using equations to find the distance of one hop aka unit rates)
-The teacher gives them to solve the equations but the students let her know that they have already solved them
-the teacher asks students to volunteer to write their equation on the board and show the class how they solved them (communicating findings)
-because the students are explaining the distance of their hops through equations I would say that could be (data modeling)
-teacher says, ""I know this is summer so I am more relaxed than I would be during the school year""",HM,
2,Boston - Mathpower,2015-07-21,1,0,0,0,0,0,0,0,"-teacher tells them to use the opportunities that are presented to them (she is telling them they should use this time in math power to review for school because otherwise they'll have to do it on their own time)
----""Oh my goodness, Sean, do you want some cheese with that whine?""
-they are playing ""name that number"" and normally they work in groups and do a lot of talking, but today they need to be completely silent and have to work on it individually, then later they will work together to put their answers down on one paper for the group
-one student asks to move his seat because he does not think he will be able to keep from talking to the other students (the teachers tell him to simply exercise self control, but both are laughing, this is not a very serious conversation but still important)
-this is the same exercise that we have seen in many of the other videos (with the random numbers that they need to use to get the target number) and now it shows that the random numbers are drawn from a bucket
----the target number is also drawn from the bucket
-the students are pretty good about remaining silent but you can see some of them gesturing and mouthing to each other in the video (and they seem to be joking about something rather than trying to discuss the material)
-the video pans onto the board and stays there (I started trying to solve for the target number and realized that this activity is actually harder than I thought)
",HM,
2,Boston - Mathpower,2015-07-21,2,0,0,0,0,1,1,1,"-I believe at the beginning of the video they are doing the group portion of the previous activity
-they then pass the papers over to another table to grade one another (same as before, the group that has the most ways of reaching the target number wins)
-students begin volunteering to share their solutions on the board (communicating findings)
-one of the students gets frustrated that the teachers were not more clear about some of the rules of this game/competition (she just flipped the order of a problem around and they didn't explicitly tell them that did not count)",HM,
2,Boston - Mathpower,2015-07-21,3,0,0,0,0,0,0,0,,KMS,
2,Boston - Mathpower,2015-07-21,4,0,0,0,0,0,0,0,,KMS,
2,Boston - Mathpower,2015-07-23,1,1,0,1,1,1,1,4,"-The students are again doing the activity with the target number (this seems to be an every day thing) and they are not allowed to talk again (the teacher wants them to work on it individually first)
-I'm not sure what the coders were seeing to give all the codes for this one because the students are working silently and individually throughout the entire video besides some help from their teacher
",HM,
2,Boston - Mathpower,2015-07-23,2,1,0,0,1,1,1,3,"-the students look like they are working individually on problems that are on the board (but I'm not sure what they are specifically working on)
-they must be solving equations because the teacher asks a student about like terms
-one student asks for help but the teacher tells him that he needs to at least try it first (he just opened the paper and immediately said he didn't know what to do) but that does mean he is asking questions?
----the teacher starts asking the student guiding questions in order to help him start to solve the problem on his own (with a little help)
-when he is still struggling the teacher brings out the colored chips to help him figure the problem out more visually
-the students are mainly working diligently by themselves (occasionally a teacher will help them with a problem)
-one of the students was absent so the teacher asks the people at his table to help catch him up (and they do so without complaint)",HM,
2,Boston - Mathpower,2015-07-23,3,1,1,1,1,1,1,5,"-the students are working on equations that are projected onto the front screen (generating data?)
-they must be inbetween tasks because they are discussing this notion of a part of Chicago being called ""Shiraq"" because there are so many murders/shootings there and also mention how people say those types of things about Dorchester (being Die-chester)
-the teacher is doing something at her desk and the students remain fairly quiet (so I guess maybe they were still working previously but the conversation was more of a side note)
-the paper they are working on is called a ""pyramid"" and (it seems to be about proportions) they are meant to turn in the paper to their teacher when they're done
-one of the students is asking the teacher questions in order to get support solving the problems on her sheet
----Ms. Jackson demonstrates to this student how to solve a problem, while the student observes
-wow it looks like the teachers have had the students set up their notebooks with a table of contents and activities on specific page numbers
----right now the students are copying a blank worksheet onto pages 14 and 15 of their notebook (I appreciate how structured this summer program is, and the teacher maintains much more control of the class than some of the other programs that lacked this much structure i.e. down city design)
-the students are given a signal before they get an opportunity to actually use the chart they copied or even see their teacher demonstrate what to do",HM,
2,Boston - Mathpower,2015-07-23,4,1,1,1,1,1,1,5,"-the students are working with small buttons or pieces to think about the math more visually
-they seem to be workin goff of a worksheet of some sort
-they're asking questions in order to figure out how to solve the problems
-one of the students finished working on whatever the current task is and then was asking the teacher what else she could do (good student, I was suprised by this student taking that initiative)
-the teacher admits that she failed on this activity because the students are not enagaged in learning as much as she hoped and they're not getting as much out of it as planned
----she wants them to learn systems of equations next week but they still are not comfortable with regular solving equations so she wants them to keep working on that
-she writes out the x's and numbers on the board (5x is xxxxx, 5 would be +++++) and then she goes back and forth for each step, one with the written out numbers and one with the regular method of solving equations while the students observe",HM,
2,Boston - Mathpower,2015-07-28,1,1,1,0,0,0,1,2,"-now Ms. Jackson wrote out 1/2 on the board and is asking students to show different ways of writing this or anything they know about it (it's a fraction, it's half of a whole, 0.5, 50%)
-the students are all silent, they each come up to the board when they think of something and write it silently (this is their morning warm up activity)
-she asks the students how many of them love fractions and a few of them raise their hands (I was surprised until she asked if any of them cooked, and the same girl that is shown raising her hand raises her hand for enjoying cooking)
-Ms. Jackson then gives a few more examples once the students cannot think any more (I would count the things written on the board and the discussion as communicating findings)
-the teacher asks them why they think she has them do that ""name that number"" activity every day before today (the activity where they have to solve for the target number)
----they are doing this activity again today (they established that this is helpful for them to be able to do quick math without thinking about it too much)
----they didn't show the activity in this video clip",HM,
2,Boston - Mathpower,2015-07-28,2,1,1,1,0,1,1,4,"-they students are working silently (I think they are checking their peers' work on the name that number activity
-some of the students note that they are feeling tired (I believe this clip is still in the morning)
-the teacher is asking them how many days Math Power is total (real application of math that is relevant to them)
----she is asking them to solve what percentage of the program they have completed using ratios, she has a student write their work on the board (communicating findings) while the other students observe and then what percentage of time they still have left
----she then applies this to them by saying she wants them to work hard for the last 38% of time they have in Math Power so that they do not need to catch up on concepts during the school year",HM,
2,Boston - Mathpower,2015-07-28,3,1,0,0,1,1,1,3,"-they have drawn written a graph on the board and are looking at slopes based on points they plotted on the graph from a table
-Ms. Jackson writes the slope-intercept form equation on the board (y=mx+b) and asks if any of the students know what it is and one or two of the students actually do recognize it
-one student even can fill in the equation based on the line/points they've already plotted on the graph
-Ms. Jackson explicitly says they need to copy the equation down in their notebooks and label all the parts along with the information they previously talked about with slope (m = rise/run, etc)
-the rest of the video is just Ms. Jackson allowing them time to copy all the information into their notebooks",HM,
2,Boston - Mathpower,2015-07-28,4,0,1,1,1,1,1,4,"-the students are curious about what happens if they try to sleep in a high school class and Ms. Jackson is honest and tells them that if the class is large the teacher may not keep trying to keep them awake and they'd get away with it, but also lets them know that it would be harming themselves
-next they begin the activity and she plays a video of someone demonstrating graphing (observing) 
----he draws a pretty cool visual that shows a way to think about describing lines as positive, negative, or zero
----Ms. Jackson cuts off the video and gives them sheets where they need to find the slope of each line for the even number problems 
-The teacher is encouraging them to talk to one another about the problems, but the students seem to prefer to be working on it individually now (not sure if they are trying to think through the problems or if they just don't want to work together)",HM,
2,Boston - Mathpower,2015-07-30,1,0,0,0,0,1,1,1,"-they are talking about square roots and perfect squares
-Ms. Jackson asks if anyone knows about the pythagorean theorem and when several students say yes she asks them to talk about what it is
----it sounds like some of them are just guessing at what it is (but eventually they come to the answer)
----they almost move on but someone mentions the hypotenuse so Ms. Jackson decides they need to take that opportunity to explore the term
----a student asks if they should add this to their vocab list in their notebook (it's nice to see the students taking initiative and that the teacher is exploring what the students are interested in)
----she then gives them the visual of how the area of the squares of the sides of the legs are equal to the area of the square of the hypotenuse (i.e. a^2 + b^2 = c^2)",HM,
2,Boston - Mathpower,2015-07-30,2,0,0,0,0,0,0,0,,KMS,
2,Boston - Mathpower,2015-07-30,3,0,0,1,0,1,1,2,"-looks like they are coming back from a break, now they are going over an example where the students need to find the equation of a line when they are given the length of the sides of a right triangle that connects to the x and y intercepts
-a student volunteers to share their work on the board (of how to find the equation) while the other students observe and then he explains to them how he found that answer (communicating findings)
----the student at the board actually starts asking his peers if they know how to do things like find the y intercept (just like the teacher does, it seems like he already knows the answer)
----this student is trying to guide his classmates to the y-intercept and slope so they can find the equation of the line
----he even does a small formative assessment/comprehension check and asks them to put their thumbs up if they got it",HM,
2,Boston - Mathpower,2015-07-30,4,0,0,0,0,1,1,1,"-Ms. Jackson is writing instructions for the current task 
----students are meant to write the equations of specific types of lines (i.e. with a positive slope) that they have already drawn on their graph paper
-then they start working on the task individually
----oh the students did some drawings and they were meant to find lines (two with positive slope, 2 with negative slopes) and are marking each type of line they find on the drawing with different colors
----Ms. Jackson uses one student's drawing as a model to show the other students how to do the assignment
----actually I don't think the students are the ones who drew the drawing, they are just printed out sheets
----they are meant to find the examples of lines on one sheet and color in the other one",HM,
4,6th Math (Sociedad - 02_Seg),2015-07-20,1,0,0,1,0,0,1,1,"-the students are in the middle of watching a video (about Cape Cod) that the teacher notes is the video is just to give them an opportunity to see the sights around Cape Cod in case they have never seen it (not sure how this relates to their learning?)
----a student asks if that was the wrong video (possibly because they are also wondering how it relates to their class?)
-the teacher then moves on to talk about profit versus loss in business and then gives them the formula
----then he gives them an example, working through the problem in the front before asking them to solve an example on their own (even though the answer is already up on the board)
-one of the students starts working with the teacher and is asking questions and thinking out loud without asking for the answer in order to get help solving the problem (he mostly does it on his own, the teacher does not have to give him many hints
",HM,
4,6th Math (Sociedad - 02_Seg),2015-07-20,2,0,0,1,0,0,1,1,"-they are working through another problem and one student asks whether they are doing multiplication or division (when the teacher tells her it's division they complain that it is too much work)
-the students do seem to listen to the teacher to some degree, but mostly when he is in close proximity to them (if he is working with them they are pretty diligent but as soon as he walks away the students start going off task)
-I think the problems the students are solving are being counted as generating data
-there is one student in particular who is really struggling, so the teacher takes some extra time with him
----the student asks, ""Do I have to do this?"" referring to the problems in general
-The teacher decides to do one problem on the board (I think he feels many of the students are still struggling)
----He also lets the students know that these are typical sixth grade math problems (letting them know that their work does have utility value aka encouraging extrinsic motivation)
----(when the teacher solves in the problem on the board, he gives almost the same spiel/instructions/promptings as he did when he was helping the other student individually)",HM,
4,7th Math (Sociedad 2 - 01_Seg),2015-07-20,1,0,0,1,0,0,1,1,"-the students are quietly working on individual worksheets (but the video starts in the middle of the activity so I don't know what the worksheet is about)
---- ah they are doing addition with decimal points
-the teacher walks around trying to help the students that need it (there are not many kids in the class, maybe only 5 or 6
-one student struggles with addition and uses a calculator, so the teacher helps him the most
-they must be generating data as they are solving the problems",HM,
4,7th Math (Sociedad 2 - 01_Seg),2015-07-20,2,1,1,1,0,0,1,3,"-this clip must not be very long after the previous signal because the student that struggled with addition is still working on the decimal worksheet
-the teacher even whispers when she is helping an individual student so the rest of them can work without too much distraction (the atmosphere of this class is very different from the 6th grade math class)
-the teacher tries to help some of the students get started on their sheet by demonstrating how to solve one of the problems while the student observes
-the teacher goes through and checks one of the student's progress and looks over his work, then lets him know where there is an issue but lets him know that he is doing well other than that change (the student seems pleased that she said he is doing well, and continues working at it even after she moves on to work with another student)
-the students do ask questions when they need help solving the problems",HM,
4,8th Math (Sociedad - 01_Seg),2015-07-20,1,1,1,1,0,0,1,3,,,
4,Dance (Sociedad2 - 02_Seg),2015-07-20,2,0,0,0,0,0,0,0,"-the students are doing handstands with a spotter or against the wall
-oh I think she is teaching them basic breakdance techniques
-student: ""Why do we have to do this ever in life?""
----the teacher gives a good response, ""You don't have to do anything ever in life, but you can choose to do it.""
-they learn what is called a ""baby freeze"" and ""shoulder rolls""
-lastly, they work on stretching their splits",HM,
4,Robotics (Sociedad - 03_Seg),2015-07-20,1,1,0,1,1,0,1,3,"-there are several groups of students, and each group is given a build kit and a large poster (not sure what the poster is for yet, but it was symbols on it and is likely related to whatever they're building
----the build kit even includes a program run on the computer that allows their robot to move
-the students are using this program model on the computer to observe the phenomenon of how to move the car from one square to the other
-interestingly, there is a student in the robotics class that was in the 6th grade math class (Sir David) that kept giving Mr. B so much trouble, but in this class he seems to respect the teacher and is eager to answer his questions
----this teacher seems very calm but firm about his rules (he threatens to take a cell phone away and says he already has three)
-the first team to go from the blue square to the red square (on the sheet) wins
-one student asks if he can change groups because there is another student who is making him be unproductive (because they are not getting along) but the teacher says no because the student already has experience and the group needs them
----the student hears the reason, and gives a counter argument about how the material is still new to him as well because it's pregrogramed on the computer so the teacher compromises and says to stay in the group but if it is still an issue later, they will move him",HM,
4,Robotics (Sociedad - 03_Seg),2015-07-20,2,1,1,1,1,1,1,5,"-the students are trying to solve the problem of how to move the car and are asking questions in order to work together in their group (especially since some students have more experience programming than others)
-the teacher keeps walking around, encouraging groups to persevere and helping them when they get stuck (but he does not give them the answer, only helps them figure it out on their own)
----he tries to get them to think about why they are making certain moves in order to get the correct answers",,
4,6th Math (Sociedad - 02_Seg),2015-07-22,1,0,0,0,0,0,0,0,"-the teacher is asking the students to think about how businesses make profit on their products (making them think about how the company must have paid less for the pair of shoes than they sell them for)
----while he did not explicitly tell them this is what he is looking for, he wants the students to use the equation they practiced two days ago
----they do not understand that he wants them to use what they learned previously (because he never was straightforward about it) so he tries to talk the students through the process again
-there is a moment where the teacher loses some of his power because a student is writing in her notebook about something else (or passing notes maybe?) and the teacher tries to take it, but she refuses and puts it back in her bag and he cannot do anything about it
-after that the mood of the room shifts and the students start acting up more (they now realize that the teacher cannot really stop them from doing much besides saying their name in a commanding tone) to the point where a student just walks out of the class and even when the teacher goes out to talk to him, he resists going back to the class
----the teacher eventually gets the student to come inside by threatening to call ""Ms. Lisa"" (maybe his mom? maybe a higher authority?)
----it may be significant that the student who keeps acting up is also the student who struggles with the math concepts the most (maybe he is acting up rather than trying and failing)
-the one student continues to mess around while a student tries to work through the problem on the board with the teacher's help 
-the one student is now doing small, annoying things that the teacher has asked him to stop doing just to spite him
----the teacher finally decides to send the student to the cafeteria (presumably the program's form of punishment like the principal's office)
-after this the teacher tries to get back on task but struggles to regain control of the students
",HM,
4,6th Math (Sociedad - 02_Seg),2015-07-22,2,0,0,0,0,0,0,0,"-David (the kid who keeps acting up) is back but still doesn't seem to be engaged
-The other kids are even beginning to try to help get David back on task, but he refuses to listen and is defiant (he seems to be trying to figure out how far he can go without serious consequences)
-The teacher asks David why he isn't doing any of the problems and he responds because he cannot do them
-one of the other boys (Gio) starts tenatively pushing back (going for water, coming back, and then asking to go out for water immediately after again)
-student: ""Can't we do something more active?""
-They are meant to figure out whether in each example whether it is a profit or loss
----""How do we know if it's a loss?""
----the teacher decides to answer this question by working through a problem that demonstrates a loss in front of the class
-David actually tells the teacher he needs help (this surprises me, because he keeps trying to annoy the teacher through making small noises or banging on the table)
----""Can I just use a calculator?""
----David tries to leave the room again",HM,
4,7th Math (Sociedad 2 - 01_Seg),2015-07-22,1,0,1,0,0,1,1,2,"-the students are working on another worksheet and the teacher notes a few people are having trouble on number four so she decides to write it out on the board (observe)
-she asks the students to tell her the answer for each part, and just lays it out in steps so it is easier for them to understand and also asks them to explain their thinking
----they are figuring out how to convert fractions to decimals
-the teacher goes over all the problems they are struggling with
-after she goes through the ones they are struggling with she just starts going through all the problems to make sure they understand the concept",HM,
4,7th Math (Sociedad 2 - 01_Seg),2015-07-22,2,0,0,0,0,1,1,1,"-this signal is almost immediately after the previous one because she is still going over the problems from the same worksheet
-they talk about converting thirds to decimals for the first couple minutes of the video
-they move on to converting decimals to percentages
-not sure why this video is coded for communicating findings as it is pretty much the same as the previous signal clip (the students are still observing her solve these problems)
-the teacher goes through every problem and gives the answer and how to get the answer, but she asks the students if they know first (both the teacher and students seem bored)",HM,
4,8th Math (Sociedad - 01_Seg),2015-07-22,1,0,0,0,1,0,1,1,,,
4,8th Math (Sociedad - 01_Seg),2015-07-22,2,0,0,0,0,0,0,0,,,
4,Dance (Sociedad2 - 02_Seg),2015-07-22,1,,,,,,0,0,MISSING VIDEO?,,
4,Dance (Sociedad2 - 02_Seg),2015-07-22,2,,,,,,0,0,MISSING VIDEO?,,
4,Robotics (Sociedad - 03_Seg),2015-07-22,1,0,0,0,1,1,1,2,"-the students are all gathered around the desk in the front, and the teacher is asking them why a robot may think two colors are the same 
----the teacher's confidence in them pays off because the students realize that it has to do with light reflection on their own
-they will be using the same program as yesterday, but they will be programming the car movements differently (with colors this time)
-some of the students are communicating their ideas about how to solve the issue of not being able to tell the car to ""turn right when it reaches the white box"" because the background of the paper is already white
-they begin generating data as one student starts trying to run the program in front of the class (they can all see what his codes look like in the program) and they test the car to see if it does what it's supposed to and then they all try to solves the problems together with the teacher's guidance",HM,
